#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Mar 30 16:19:31 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TISC_map.ncd
#OUTPUT FILE:      TISC_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P57,pci_ad<17>,IOB,IO_L14N_D12_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P58,pci_ad<16>,IOB,IO_L14P_D11_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P59,pci_ad<15>,IOB,IO_L13N_D10_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,pci_ad<14>,IOB,IO_L12N_D2_MISO3_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P62,pci_ad<13>,IOB,IO_L12P_D1_MISO2_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,MOSI,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P65,MISO,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P66,pci_ad<12>,IOB,IO_L2N_CMPMOSI_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P67,pci_ad<11>,IOB,IO_L2P_CMPCLK_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,SCK,IOB,IO_L1P_CCLK_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,pci_ad<10>,IOB,IO_L74N_DOUT_BUSY_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P75,pci_ad<9>,IOB,IO_L74P_AWAKE_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,pci_ad<8>,IOB,IO_L47N_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P79,pci_ad<7>,IOB,IO_L47P_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P80,pci_ad<6>,IOB,IO_L46N_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P81,pci_ad<5>,IOB,IO_L46P_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P82,pci_ad<4>,IOB,IO_L45N_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P83,pci_ad<3>,IOB,IO_L45P_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P84,pci_ad<2>,IOB,IO_L43N_GCLK4_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P85,pci_ad<1>,IOB,IO_L43P_GCLK5_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,pci_ad<0>,IOB,IO_L42N_GCLK6_TRDY1_1,BIDIR,PCI33_3,1,,,,NONE,,LOCATED,YES,NONE,
P88,MON<2>,IOB,IO_L42P_GCLK7_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,,IOBS,IO_L41N_GCLK8_1,UNUSED,,1,,,,,,,,,
P93,pci_clk,IOB,IO_L41P_GCLK9_IRDY1_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P94,,IOBS,IO_L40N_GCLK10_1,UNUSED,,1,,,,,,,,,
P95,GSEL_JTAG_B,IOB,IO_L40P_GCLK11_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,INIT_B<3>,IOB,IO_L34N_1,INPUT,LVCMOS33,1,,,PULLUP,NONE,,LOCATED,YES,NONE,
P98,INIT_B<2>,IOB,IO_L34P_1,INPUT,LVCMOS33,1,,,PULLUP,NONE,,LOCATED,YES,NONE,
P99,INIT_B<1>,IOB,IO_L33N_1,INPUT,LVCMOS33,1,,,PULLUP,NONE,,LOCATED,YES,NONE,
P100,INIT_B<0>,IOB,IO_L33P_1,INPUT,LVCMOS33,1,,,PULLUP,NONE,,LOCATED,YES,NONE,
P101,DONE<3>,IOB,IO_L32N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
P102,DONE<2>,IOB,IO_L32P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,DONE<1>,IOB,IO_L1N_VREF_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
P105,DONE<0>,IOB,IO_L1P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
P112,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
P113,,,GND,,,,,,,,,,,,
P114,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
P115,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
P116,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
P117,MON<0>,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS25*,0,8,QUIETIO,,,,LOCATED,YES,NONE,
P118,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
P119,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
P120,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
P121,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
P122,,,VCCO_0,,,0,,,,,2.50,,,,
P123,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
P124,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
P125,,,VCCO_0,,,0,,,,,2.50,,,,
P126,GCLK,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS25*,0,6,QUIETIO,,,,LOCATED,YES,NONE,
P127,GSEL_B<3>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,GSEL_B<2>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
P132,GSEL_B<1>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
P133,GSEL_B<0>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
P134,GAD<3>,IOB,IO_L34P_GCLK19_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P135,,,VCCO_0,,,0,,,,,2.50,,,,
P136,,,GND,,,,,,,,,,,,
P137,GAD<2>,IOB,IO_L4N_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P138,GAD<7>,IOB,IO_L4P_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P139,GAD<6>,IOB,IO_L3N_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P140,GAD<5>,IOB,IO_L3P_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P141,GAD<4>,IOB,IO_L2N_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P142,GAD<0>,IOB,IO_L2P_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P143,GAD<1>,IOB,IO_L1N_VREF_0,BIDIR,LVCMOS25*,0,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P144,GRDWR_B,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
